stock_code,transaction_date,closing_price,matched_volume,matched_value,foreign_net_volume,foreign_net_value,proprietary_net_volume,proprietary_net_value,buy_orders,buy_volume,sell_orders,sell_volume
BID,2022-02-28,43.700000000000000000,2699000,118.630000000000000000,-252600,-11.10,,,3116,4574700,2175,4256200
BID,2022-02-25,44.550000000000000000,2347500,105.330000000000000000,123300,5.54,,,2065,3819800,1799,4086300
BID,2022-02-24,44.600000000000000000,3385900,151.200000000000000000,-47100,-2.08,,,4691,5871900,2278,6053600
BID,2022-02-22,46.000000000000000000,2290300,103.900000000000000000,-33600,-1.51,,,2032,3921100,1928,3829100
BID,2022-02-21,45.250000000000000000,2957200,131.340000000000000000,-37900,-1.67,,,4102,6325800,2703,4977900
BID,2022-02-18,44.700000000000000000,2995400,135.340000000000000000,15700,0.71,,,3479,4884300,1577,5167600
BID,2022-02-17,46.000000000000000000,1790200,81.320000000000000000,98900,4.49,,,1903,3572200,1587,3581600
BID,2022-02-16,45.150000000000000000,2795800,126.510000000000000000,9000,0.39,,,3475,5031300,1522,4574000
BID,2022-02-15,46.200000000000000000,3694100,167.420000000000000000,1038700,47.38,,,2783,5953600,2698,5423800
BID,2022-02-14,44.750000000000000000,7129000,329.290000000000000000,478800,22.32,,,6605,9869800,3090,10792100
BID,2022-02-11,47.900000000000000000,1716100,82.620000000000000000,-80000,-3.84,,,1983,2844600,1578,3642600
BID,2022-02-10,48.400000000000000000,2741500,132.810000000000000000,366600,17.72,,,1769,3856100,2492,5555600
BID,2022-02-09,48.400000000000000000,4562000,217.970000000000000000,42900,2.00,,,4189,7237500,3277,7279700
BID,2022-02-08,47.350000000000000000,2672600,126.930000000000000000,-36700,-1.73,,,2653,4481400,1949,4912900
BID,2022-02-07,47.400000000000000000,3477200,166.170000000000000000,234100,11.22,,,2737,4714200,2076,5988800
BID,2022-01-28,47.950000000000000000,2956900,142.670000000000000000,109700,5.28,,,2050,6799300,2700,6390500
BID,2022-01-27,47.600000000000000000,1921100,91.790000000000000000,-54300,-2.59,,,2072,4214900,1912,3740300
BID,2022-01-26,48.100000000000000000,4052900,199.250000000000000000,536200,26.40,,,3266,6945700,3429,8393600
BID,2022-01-25,49.000000000000000000,4703200,222.500000000000000000,594600,28.29,,,0,0,0,0
BID,2023-09-05,47.500000000000000000,1362300,64.590000000000000000,140900,6.70,,,1091,3160500,1616,2517400
BID,2023-08-31,46.950000000000000000,1668900,77.950000000000000000,740000,34.58,,,1046,3172600,1780,3004400
BID,2023-08-30,46.200000000000000000,1123800,51.960000000000000000,-25900,-1.20,,,1368,1906000,1893,2421300
BID,2023-08-29,45.800000000000000000,1359600,62.260000000000000000,43800,2.01,,,1396,2077100,1548,2817700
BID,2023-08-28,45.400000000000000000,740300,33.640000000000000000,-17800,-0.80,,,1137,1255000,1402,2185600
BID,2023-08-25,45.200000000000000000,1174700,53.270000000000000000,-138200,-6.25,,,1724,2029300,1109,2283900
BID,2023-08-24,45.800000000000000000,1360100,62.300000000000000000,77600,3.52,,,1215,2302800,1846,2470600
BID,2023-08-23,45.700000000000000000,1363100,62.300000000000000000,64800,2.97,,,977,1991400,1642,2792600
BID,2023-08-22,45.800000000000000000,1287500,58.280000000000000000,164200,7.47,,,1864,2138900,1625,2536300
BID,2023-08-21,45.600000000000000000,1810000,82.370000000000000000,999500,45.84,,,2021,3291100,1828,3423100
BID,2023-08-18,44.200000000000000000,2845400,130.420000000000000000,524600,24.07,,,2933,4454600,1564,4615300
BID,2023-08-17,47.100000000000000000,1666000,79.110000000000000000,698800,33.19,,,1049,2339300,1458,3081000
BID,2023-08-16,47.500000000000000000,1353700,64.080000000000000000,589600,27.94,,,1081,2169900,1366,2601600
BID,2023-08-15,47.000000000000000000,1658000,78.080000000000000000,-179900,-8.47,,,1547,2616300,1357,2785300
BID,2023-08-14,47.600000000000000000,2117100,100.170000000000000000,228000,10.85,,,1348,3328200,2474,3242800
BID,2023-08-11,46.700000000000000000,2102400,97.460000000000000000,-19700,-0.91,,,2620,3737000,1780,3993200
BID,2023-08-10,46.500000000000000000,2612100,123.730000000000000000,92000,4.39,,,2824,3954500,1701,4722700
BID,2023-08-09,48.200000000000000000,1802300,87.280000000000000000,686500,33.26,,,1527,2768100,1186,3768600
BID,2023-08-08,48.650000000000000000,2104900,103.300000000000000000,228000,11.19,,,1621,3395600,1871,4439800
BID,2023-08-07,48.850000000000000000,2004700,98.040000000000000000,-335700,-16.35,,,1568,3321700,1886,3752400
BID,2022-01-24,46.900000000000000000,4165100,197.750000000000000000,-159000,-7.55,,,2570,6144700,3308,6999400
BID,2022-01-21,47.350000000000000000,4570000,217.940000000000000000,-222500,-10.58,,,3482,7655800,4089,8696300
BID,2022-01-20,44.400000000000000000,3017300,130.590000000000000000,148600,6.62,,,3916,10301100,3987,7868300
BID,2022-01-19,43.750000000000000000,2537600,112.300000000000000000,-300700,-13.26,,,2855,4951800,2409,6089800
BID,2022-01-18,44.900000000000000000,4849200,214.720000000000000000,451900,20.07,,,3502,9080800,3718,8240200
BID,2022-01-17,43.650000000000000000,7741100,350.910000000000000000,1067100,48.85,,,4879,11224800,5328,12464500
BID,2022-01-14,44.250000000000000000,3265400,144.490000000000000000,152100,6.74,,,2301,6336700,3594,6544000
BID,2022-01-13,44.000000000000000000,9664800,430.180000000000000000,1962600,88.36,,,5631,18509900,5330,11958800
BID,2022-01-12,42.150000000000000000,8028300,327.640000000000000000,111500,4.52,,,3771,12758200,4748,9936100
BID,2022-01-11,39.400000000000000000,4276500,167.670000000000000000,403600,15.85,,,2715,7124300,3106,7219300
BID,2022-01-10,38.850000000000000000,3180600,125.790000000000000000,-326900,-13.58,,,2731,5012700,3090,5896900
BID,2022-01-07,39.200000000000000000,4367700,168.980000000000000000,426200,16.45,,,3074,7313600,3916,6890300
BID,2022-01-06,38.000000000000000000,5998800,226.400000000000000000,-95600,-3.80,,,4094,9498000,4561,9038200
BID,2022-01-05,37.050000000000000000,1922200,71.400000000000000000,-116000,-4.31,,,2214,2840300,2141,4266300
BID,2022-01-04,37.400000000000000000,1769200,66.350000000000000000,-54200,-2.03,,,2108,2834700,2424,4295700
BID,2021-12-31,37.100000000000000000,4857000,179.800000000000000000,196300,7.26,,,3798,7742700,4699,8014800
BID,2021-12-30,35.400000000000000000,987000,34.970000000000000000,40000,1.42,,,1085,1702800,1270,2349400
