|industry_group|industry_code|industry_name
344|K|6520|Tái bảo hiểm
345|K|6530|Bảo hiểm xã hội
346|K|6611|Quản lý thị trường tài chính
347|K|6612|Môi giới hợp đồng hàng hóa và chứng khoán
348|K|6619|Hoạt động hỗ trợ dịch vụ tài chính chưa được phân vào đâu
349|K|6621|Đánh giá rủi ro và thiệt hại
350|K|6622|Hoạt động của đại lý và môi giới bảo hiểm
351|K|6629|Hoạt động hỗ trợ khác cho bảo hiểm và bảo hiểm xã hội
352|K|6630|Hoạt động quản lý quỹ
353|L|6810|Kinh doanh bất động sản, quyền sử dụng đất thuộc chủ sở hữu, chủ sử dụng hoặc đi thuê
354|L|6820|Tư vấn, môi giới, đấu giá bất động sản, đấu giá quyền sử dụng đất
355|M|6910|Hoạt động pháp luật
356|M|6920|Hoạt động liên quan đến kế toán, kiểm toán và tư vấn về thuế
357|M|7010|Hoạt động của trụ sở văn phòng
358|M|7020|Hoạt động tư vấn quản lý
359|M|7110|Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan
360|M|7120|Kiểm tra và phân tích kỹ thuật
361|M|7211|Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học tự nhiên
362|M|7212|Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học kỹ thuật và công nghệ
363|M|7213|Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học y, dược
364|M|7214|Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học nông nghiệp
365|M|7221|Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học xã hội
366|M|7222|Nghiên cứu khoa học và phát triển công nghệ trong lĩnh vực khoa học nhân văn
367|M|7310|Quảng cáo
368|M|7320|Nghiên cứu thị trường và thăm dò dư luận
369|M|7410|Hoạt động thiết kế chuyên dụng
370|M|7420|Hoạt động nhiếp ảnh
371|M|7490|Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu
372|M|7500|Hoạt động thú y
373|N|7710|Cho thuê xe có động cơ
374|N|7721|Cho thuê thiết bị thể thao, vui chơi giải trí
375|N|7722|Cho thuê băng, đĩa video
376|N|7729|Cho thuê đồ dùng cá nhân và gia đình khác
377|N|7730|Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác không kèm người điều khiển
378|N|7740|Cho thuê tài sản vô hình phi tài chính
379|N|7810|Hoạt động của các trung tâm, đại lý tư vấn, giới thiệu và môi giới lao động, việc làm
380|N|7820|Cung ứng lao động tạm thời
381|N|7830|Cung ứng và quản lý nguồn lao động
