SAB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
- Nguyên giá,174,174,174,174,174
- Giá trị hao mòn lũy kế (*),-10,-11,-13,-14,-15
3. Tài sản cố định vô hình,926,924,923,922,921
- Nguyên giá,"1,104","1,104","1,106","1,107","1,110"
- Giá trị hao mòn lũy kế (*),-178,-180,-183,-186,-189
III. Bất động sản đầu tư,40,153,152,150,148
- Nguyên giá,68,183,183,183,183
- Giá trị hao mòn lũy kế (*),-28,-30,-31,-33,-35
IV. Tài sản dở dang dài hạn,172,134,131,157,220
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,172,134,131,157,220
V. Đầu tư tài chính dài hạn,"2,178","2,214","2,251","2,318","2,254"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2,124","2,188","2,221","2,284","2,225"
3. Đầu tư góp vốn vào đơn vị khác,434,434,434,434,434
4. Dự phòng đầu tư tài chính dài hạn (*),-412,-410,-408,-409,-415
5. Đầu tư nắm giữ đến ngày đáo hạn,31,2,4,10,10
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,545,611,539,658,722
1. Chi phí trả trước dài hạn,377,383,361,481,547
2. Tài sản thuế thu nhập hoãn lại,150,208,154,150,141
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",18,19,24,27,34
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,,,,,
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"33,949","34,465","31,480","33,647","33,426"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"8,103","9,874","5,907","8,123","6,908"
I. Nợ ngắn hạn,"7,448","9,214","5,383","7,639","6,490"
1. Phải trả người bán ngắn hạn,"1,805","2,766","1,774","2,276","1,744"
2. Người mua trả tiền trước ngắn hạn,548,37,26,39,30
3. Thuế và các khoản phải nộp Nhà nước,"2,281","1,621","1,051","1,759","2,028"
4. Phải trả người lao động,156,190,135,175,179
5. Chi phí phải trả ngắn hạn,"1,061",514,625,759,942
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,0,0,1,0,0
9. Phải trả ngắn hạn khác,968,"3,204",956,"1,934",991
10. Vay và nợ thuê tài chính ngắn hạn,436,659,582,556,409
11. Dự phòng phải trả ngắn hạn,,,,,
"12. Quỹ khen thưởng, phúc lợi",192,222,233,140,167
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,656,660,525,485,418
1. Phải trả người bán dài hạn,111,120,0,0,0
2. Người mua trả tiền trước dài hạn,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,58,55,58,58,60
8. Vay và nợ thuê tài chính dài hạn,375,374,352,310,239
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,37,37,43,47,48
12. Dự phòng phải trả dài hạn,75,74,72,69,71
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"25,846","24,591","25,573","25,523","26,519"
I. Vốn chủ sở hữu,"25,846","24,591","25,573","25,523","26,519"
1. Vốn góp của chủ sở hữu,"6,413","6,413","6,413","6,413","6,413"
- Cổ phiếu phổ thông có quyền biểu quyết,"6,413","6,413","6,413","6,413","6,413"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,,,,,
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,3,3,3,3,3
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,32,37,37,42,50
8. Quỹ đầu tư phát triển,"1,122","1,122","1,122","1,122","1,122"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"16,803","15,565","16,515","16,623","17,637"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"12,724","10,484","15,582","14,581","14,581"
- LNST chưa phân phối kỳ này,"4,079","5,081",932,"2,042","3,056"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"1,472","1,451","1,483","1,320","1,293"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"33,949","34,465","31,480","33,647","33,426"
