GVR,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
- Giá trị hao mòn lũy kế (*),"-17,897","-18,456","-18,928","-19,330","-19,911"
2. Tài sản cố định thuê tài chính,1,1,1,1,1
- Nguyên giá,1,1,2,2,2
- Giá trị hao mòn lũy kế (*),-1,-1,-1,-1,-1
3. Tài sản cố định vô hình,118,117,116,115,112
- Nguyên giá,201,203,203,203,202
- Giá trị hao mòn lũy kế (*),-83,-85,-87,-89,-90
III. Bất động sản đầu tư,"1,401","1,417","1,383","1,394","1,366"
- Nguyên giá,"2,175","2,231","2,229","2,271","2,267"
- Giá trị hao mòn lũy kế (*),-774,-815,-847,-877,-901
IV. Tài sản dở dang dài hạn,"12,578","12,146","11,194","11,059","11,192"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",188,192,196,198,195
2. Chi phí xây dựng cơ bản dở dang,"12,390","11,954","10,998","10,861","10,997"
V. Đầu tư tài chính dài hạn,"3,175","2,876","2,864","2,962","2,929"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"2,404","2,391","2,401","2,399","2,090"
3. Đầu tư góp vốn vào đơn vị khác,385,387,394,394,394
4. Dự phòng đầu tư tài chính dài hạn (*),-24,-54,-54,-53,-53
5. Đầu tư nắm giữ đến ngày đáo hạn,410,152,124,222,498
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"3,836","3,846","4,124","3,989","4,046"
1. Chi phí trả trước dài hạn,"3,522","3,525","3,852","3,759","3,654"
2. Tài sản thuế thu nhập hoãn lại,196,206,121,83,84
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",78,78,115,112,112
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,39,37,36,35,195
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"79,587","78,064","77,043","76,616","77,797"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"24,741","24,861","22,752","22,445","22,507"
I. Nợ ngắn hạn,"9,082","10,232","8,401","8,257","8,307"
1. Phải trả người bán ngắn hạn,734,817,767,795,785
2. Người mua trả tiền trước ngắn hạn,491,542,547,581,586
3. Thuế và các khoản phải nộp Nhà nước,896,664,384,521,759
4. Phải trả người lao động,"1,226","1,361",613,636,811
5. Chi phí phải trả ngắn hạn,498,475,472,453,461
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,261,299,305,298,275
9. Phải trả ngắn hạn khác,"1,647","1,782","1,575","1,451","1,678"
10. Vay và nợ thuê tài chính ngắn hạn,"2,152","2,589","2,622","2,378","1,905"
11. Dự phòng phải trả ngắn hạn,19,3,13,18,18
"12. Quỹ khen thưởng, phúc lợi","1,157","1,701","1,104","1,125","1,028"
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"15,660","14,629","14,351","14,187","14,200"
1. Phải trả người bán dài hạn,,,,,
2. Người mua trả tiền trước dài hạn,79,85,83,102,106
3. Chi phí phải trả dài hạn,71,224,246,247,249
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,"9,232","9,079","9,161","9,052","9,094"
7. Phải trả dài hạn khác,277,145,136,175,92
8. Vay và nợ thuê tài chính dài hạn,"5,607","4,822","4,444","4,296","4,319"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,,,4,4,4
12. Dự phòng phải trả dài hạn,,,,,
13. Quỹ phát triển khoa học và công nghệ,393,274,277,311,335
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"54,846","53,203","54,291","54,172","55,290"
I. Vốn chủ sở hữu,"54,762","53,135","54,217","54,110","55,221"
1. Vốn góp của chủ sở hữu,"40,000","40,000","40,000","40,000","40,000"
- Cổ phiếu phổ thông có quyền biểu quyết,"40,000","40,000","40,000","40,000","40,000"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,199,199,199,199,322
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,11,11,11,11,11
5. Cổ phiếu quỹ (*),-1,-1,-1,-1,-1
6. Chênh lệch đánh giá lại tài sản,"-1,576","-1,574","-1,574","-1,574","-1,574"
7. Chênh lệch tỷ giá hối đoái,171,290,259,9,215
8. Quỹ đầu tư phát triển,"4,402","5,090","5,090","5,294","5,294"
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,0,0,0,0,0
11. Lợi nhuận sau thuế chưa phân phối,"7,103","4,783","5,646","5,644","6,109"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"4,196",964,"5,096","5,090","5,796"
- LNST chưa phân phối kỳ này,"2,907","3,819",550,554,313
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"4,452","4,336","4,588","4,529","4,845"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,84,69,74,62,69
1. Nguồn kinh phí,-34,-45,-35,-44,-32
2. Nguồn kinh phí đã hình thành TSCĐ,117,113,109,105,102
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"79,587","78,064","77,043","76,616","77,797"
