VHM,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,,,,,
4.  Phải thu nội bộ dài hạn,,,,,
5. Phải thu về cho vay dài hạn,"1,051",240,"10,931","4,509","2,067"
6. Phải thu dài hạn khác,"33,013","33,342","47,504","45,159","98,275"
7. Dự phòng phải thu dài hạn khó đòi (*),,,,,
II. Tài sản cố định,"11,731","10,973","12,519","17,352","14,693"
1. Tài sản cố định hữu hình,"10,679","9,938","11,490","16,308","13,644"
- Nguyên giá,"12,323","11,669","13,440","19,128","16,056"
- Giá trị hao mòn lũy kế (*),"-1,644","-1,731","-1,950","-2,820","-2,412"
2. Tài sản cố định thuê tài chính,,,,26,51
- Nguyên giá,,,,27,54
- Giá trị hao mòn lũy kế (*),,,,-1,-2
3. Tài sản cố định vô hình,"1,052","1,035","1,029","1,018",997
- Nguyên giá,"1,381","1,382","1,382","1,395","1,388"
- Giá trị hao mòn lũy kế (*),-329,-347,-353,-377,-390
III. Bất động sản đầu tư,"17,932","17,633","20,510","17,238","17,216"
- Nguyên giá,"19,725","19,532","22,615","19,316","19,462"
- Giá trị hao mòn lũy kế (*),"-1,793","-1,899","-2,105","-2,078","-2,246"
IV. Tài sản dở dang dài hạn,"63,970","67,386","84,144","80,363","83,691"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,
2. Chi phí xây dựng cơ bản dở dang,"63,970","67,386","84,144","80,363","83,691"
V. Đầu tư tài chính dài hạn,"7,760","8,021","10,375","9,736","12,849"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,187,188,189,190,191
3. Đầu tư góp vốn vào đơn vị khác,"7,625","7,832","10,158","9,513","12,294"
4. Dự phòng đầu tư tài chính dài hạn (*),-52,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,2,27,33,364
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"71,654","71,594","59,420","47,596","44,468"
1. Chi phí trả trước dài hạn,"1,646","1,864","2,558","2,701","2,870"
2. Tài sản thuế thu nhập hoãn lại,870,"1,049","1,050","2,424","1,319"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,"68,502","68,083","55,254","41,950","39,797"
5. Lợi thế thương mại,636,598,559,521,482
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"447,361","464,485","494,461","524,684","560,724"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"264,991","268,268","287,678","308,719","340,281"
I. Nợ ngắn hạn,"214,020","214,975","224,583","246,564","290,350"
1. Phải trả người bán ngắn hạn,"20,607","19,210","18,684","21,163","18,765"
2. Người mua trả tiền trước ngắn hạn,"54,504","43,551","41,715","49,421","46,383"
3. Thuế và các khoản phải nộp Nhà nước,"16,044","14,306","15,887","13,566","14,501"
4. Phải trả người lao động,,,,,
5. Chi phí phải trả ngắn hạn,"35,216","31,213","39,120","42,455","40,648"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,521,323,396,494,430
9. Phải trả ngắn hạn khác,"68,491","81,586","82,533","94,713","125,972"
10. Vay và nợ thuê tài chính ngắn hạn,"18,290","24,401","25,893","24,202","43,306"
11. Dự phòng phải trả ngắn hạn,347,386,356,550,346
"12. Quỹ khen thưởng, phúc lợi",,,,,
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"50,971","53,294","63,095","62,155","49,931"
1. Phải trả người bán dài hạn,,,,,
