stock_code,time,,Lưu chuyển tiền từ hoạt động kinh doanh,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được,2. Chi phí lãi và các chi phí tương tự đã trả,3. Thu nhập từ hoạt động dịch vụ nhận được,"4- Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",5. Thu nhập khác,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro","7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",8. Tiền thuế thu nhập thực nộp trong kỳ,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động,Những thay đổi về tài sản hoạt động,"9. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các công cụ tài chính khác,12. (Tăng)/Giảm các khoản cho vay khách hàng,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản,14. (Tăng)/Giảm khác về tài sản hoạt động,Những thay đổi về công nợ hoạt động,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng",17. Tăng/(Giảm) tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),18. Tăng/(Giảm) phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tình vào hoạt động tài chính),"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",20. Tăng/(Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác,21. Tăng/(Giảm) khác về công nợ hoạt động,22. Chi từ các quỹ của TCTD,I - Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền từ hoạt động đầu tư,1. Mua sắm tài sản cố định,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ","3. Tiền chi từ thanh lý, nhượng bán TSCĐ",4. Mua sắm bất động sản đầu tư,"5. Tiền thu từ bán, thanh lý bất động sản đầu tư","6. Tiền chi ra do bán, thanh lý bất động sản đầu tư","7. Tiền chi đầu tư, góp vốn vào các đơn vị khác (mua công ty con, góp vốn liên doanh, liên kết, đầu tư dài hạn khác)","8. Tiền thu đầu tư, góp vốn vào các đơn vị khác (bán, thanh lý Công ty con, góp vốn liên doanh,  liên kết, đầu tư dài hạn khác)","9. Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",II- Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền từ hoạt động tài chính,1. Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,2. Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,3. Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,"4. Cổ tức trả cho cổ đông, lợi nhuận đã chia",5. Tiền chi ra mua cổ phiếu quỹ,6. Tiền thu được do bán cổ phiếu quỹ,III- Lưu chuyển tiền thuần từ hoạt động tài chính,IV- Lưu chuyển tiền thuần trong kỳ,V- Tiền và các khoản tương đương tiền tại thời điểm đầu kỳ,VI- Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VII. Tiền và các khoản tương đương tiền tại thời điểm cuối kỳ
BID,Q32021,,,24748.0,-12812.0,1594.0,-13.0,-285.0,1079.0,-3338.0,-662.0,10309.0,,4442.0,-16341.0,-142.0,-31235.0,-5443.0,-415.0,,-490.0,9403.0,15948.0,17156.0,1117.0,,-3169.0,,1140.0,,-132.0,1.0,,,,,-2.0,,9.0,-124.0,,,,,,,,,1016.0,,,1016.0
BID,Q32022,,,31201.0,-15187.0,1441.0,864.0,-191.0,1244.0,-4473.0,-28.0,14870.0,,-7078.0,-17432.0,-232.0,-11865.0,-2168.0,-4168.0,,170.0,-8412.0,58229.0,9562.0,230.0,-15.0,3381.0,-2225.0,32846.0,,-163.0,5.0,-1.0,-1.0,,,1.0,,6.0,-152.0,,,,,,,,,32694.0,,,32694.0
BID,Q32023,,,36254.0,-22476.0,1764.0,1796.0,-378.0,1116.0,-4874.0,-572.0,12631.0,,603.0,9500.0,270.0,-24386.0,-3498.0,-5698.0,,-100.0,-3710.0,-223.0,5768.0,-341.0,398.0,-1735.0,,-10520.0,,126.0,3.0,,,,128.0,,,-94.0,163.0,,,,,-45.0,,,-45.0,-10403.0,,,-10403.0
BID,Q32024,,,34674.0,-21134.0,1475.0,663.0,-293.0,1794.0,-5240.0,-1643.0,10296.0,,-2575.0,-10210.0,-56.0,-70250.0,-3625.0,10436.0,,-35713.0,23046.0,66800.0,-4331.0,-355.0,-398.0,1121.0,,-15814.0,,-335.0,7.0,-3.0,,,,,,8.0,-323.0,,,,,,,,,-16137.0,,,-16137.0
BID,Q42012,,,9041.0,-4891.0,555.0,147.0,-106.0,379.0,-1985.0,-563.0,2577.0,,-5461.0,-3159.0,20.0,-4472.0,-2814.0,334.0,,759.0,2476.0,9634.0,9266.0,4706.0,23.0,-543.0,,13348.0,,-142.0,3.0,,,,,-26.0,,24.0,-141.0,,,,,,,,,13206.0,,,13206.0
BID,Q42013,,,10458.0,-6481.0,670.0,1104.0,-278.0,700.0,-2173.0,-294.0,3705.0,,3768.0,6513.0,-224.0,-17830.0,-3805.0,-211.0,,3021.0,-3007.0,488.0,15547.0,-4426.0,137.0,771.0,,4447.0,,-468.0,1.0,-1.0,,,,,77.0,33.0,-356.0,,-998.0,,,,,,-998.0,3092.0,,,41633.0
BID,Q42014,,,10771.0,-4958.0,-217.0,485.0,-29.0,752.0,-1240.0,-599.0,4964.0,,-2182.0,-13039.0,75.0,-33260.0,-2715.0,1882.0,,1500.0,26073.0,36922.0,-5238.0,-7810.0,-144.0,-1834.0,,5194.0,,-228.0,1.0,-2.0,,,,,116.0,15.0,-98.0,,,,,-3.0,,,-3.0,5092.0,-138.0,,4954.0
BID,Q42015,,,13446.0,-7235.0,727.0,253.0,345.0,373.0,-2938.0,-821.0,4150.0,,-13702.0,-14081.0,-118.0,-48132.0,-2191.0,890.0,,26144.0,-1474.0,22858.0,13531.0,2117.0,,-2788.0,,-12797.0,,-170.0,8.0,-2.0,,,,,53.0,-23.0,-134.0,,1060.0,,,,,,1059.0,-11872.0,,,-11872.0
BID,Q42016,,,18195.0,-9045.0,787.0,808.0,-544.0,1150.0,-3558.0,-776.0,7016.0,,6377.0,-3488.0,181.0,-37191.0,-2562.0,2720.0,,53.0,5631.0,8248.0,29362.0,-74.0,,-3183.0,,13090.0,,-828.0,4.0,-3.0,,,,61.0,24.0,3.0,-740.0,,,,,-2931.0,,,-2931.0,9420.0,2841.0,,12261.0
BID,Q42017,,,21436.0,-11258.0,826.0,633.0,-124.0,1895.0,-3544.0,-442.0,9421.0,,-14528.0,440.0,102.0,-38878.0,-5886.0,-1214.0,,1021.0,344.0,55113.0,14514.0,127.0,,111.0,,20687.0,,-461.0,8.0,-2.0,,,,,19.0,6.0,-430.0,,,,,-65.0,,,-65.0,20192.0,1541.0,-1541.0,20192.0
BID,Q42018,,,23963.0,-13009.0,1009.0,345.0,-391.0,1344.0,-4382.0,-472.0,8408.0,,-120.0,10865.0,-67.0,-19986.0,-8655.0,110.0,,17448.0,5104.0,39380.0,-16217.0,301.0,,-6376.0,,30193.0,,1805.0,-1.0,-3.0,,,,,27.0,28.0,1857.0,,,,,-93.0,,,-93.0,31957.0,,,31957.0
BID,Q42019,,,27233.0,-16856.0,1248.0,1016.0,86.0,2100.0,-4739.0,-442.0,9646.0,,5818.0,-5644.0,8.0,-43487.0,-6686.0,313.0,,-5778.0,-12804.0,49656.0,13228.0,-82.0,,-271.0,,3917.0,,-252.0,4.0,-12.0,,,,,,7.0,-254.0,,20295.0,,,-4786.0,,,15509.0,19173.0,,,19173.0
BID,Q42020,,,28216.0,-17685.0,1600.0,953.0,-1895.0,4170.0,-5666.0,-968.0,8724.0,,-3542.0,-2854.0,54.0,-68937.0,-7975.0,2092.0,,-3862.0,-2729.0,80286.0,-20011.0,440.0,,-1952.0,,-20265.0,,-291.0,5.0,-1.0,,,,1.0,,7.0,-279.0,,,,,-2669.0,,,-2669.0,-23213.0,,,-23213.0
BID,Q42021,,,27623.0,-13259.0,1844.0,1550.0,-1587.0,2980.0,-5331.0,-1453.0,12368.0,,-6092.0,-26680.0,186.0,-25953.0,-7712.0,1538.0,,-1019.0,-13850.0,80809.0,8707.0,631.0,,-1680.0,-1.0,21254.0,,-385.0,4.0,-5.0,,,,,,37.0,-348.0,,,,,-744.0,,,-744.0,20162.0,,,20162.0
BID,Q42022,,,34702.0,-17382.0,1430.0,1452.0,-1031.0,1388.0,-6640.0,-1323.0,12597.0,,13211.0,-5302.0,-806.0,-27318.0,-9585.0,-5196.0,,-535.0,-22495.0,77894.0,12843.0,-1185.0,,-1993.0,-1.0,42128.0,,-465.0,3.0,-1.0,1.0,,,,,78.0,-384.0,,1059.0,,,-149.0,,,910.0,42654.0,,,42654.0
BID,Q42023,,,37132.0,-26807.0,1614.0,4983.0,-2814.0,2124.0,-7178.0,-240.0,8814.0,,1512.0,-16509.0,,-124213.0,-6104.0,1214.0,,-116727.0,-6005.0,260528.0,27469.0,-291.0,-70.0,-529.0,-1.0,29090.0,,-779.0,7.0,-2.0,,,-128.0,,,182.0,-720.0,,,,,-75.0,,,-75.0,28295.0,,,28295.0
BID,Q42024,,,34333.0,-20517.0,1967.0,6235.0,-1718.0,3644.0,-7839.0,-331.0,15774.0,,-4606.0,-24585.0,-608.0,-103017.0,-7644.0,12859.0,,72973.0,16705.0,79446.0,5583.0,373.0,,-419.0,,62834.0,,-266.0,10.0,,,,,,14.0,6.0,-237.0,,,,,-86.0,,,-86.0,62512.0,,,62512.0
